account_id,client_id,iban,currency,opened_at,status
102,54,RU1028474792749023559345,EUR,2025-07-10 01:46:42,active
103,55,RU1035496436737997134581,RUB,2024-12-24 01:04:51,active
104,56,RU1048826199512729354080,EUR,2023-09-01 15:39:21,active
105,56,RU1054112059293490009025,EUR,2022-09-05 07:09:12,closed
106,56,RU1064609683946959900304,USD,2023-10-19 05:36:37,active
107,57,RU1077422937826455257900,USD,2022-04-22 13:45:49,active
108,57,RU1081897614609975756169,EUR,2025-12-04 22:18:44,active
109,58,RU1098425476637156225937,EUR,2023-05-18 09:55:07,active
110,59,RU1107037932792675883422,USD,2025-08-13 03:12:09,blocked
111,60,RU1113684753611778510049,EUR,2024-06-15 13:59:16,active
112,61,RU1127782119764884353856,EUR,2022-11-22 20:39:22,active
113,62,RU1137256377452048236772,EUR,2022-01-15 04:29:05,active
114,62,RU1149765875734169646543,RUB,2025-05-05 05:32:04,closed
115,62,RU1151519566458381754391,RUB,2023-10-26 11:51:16,active
116,63,RU1161483969902658431331,RUB,2023-07-07 09:07:36,closed
117,64,RU1179944152680046980079,EUR,2024-03-11 16:48:58,active
118,65,RU1182095760055593320721,RUB,2024-08-31 23:13:50,active
119,66,RU1199804219274691192112,EUR,2023-09-09 03:59:23,active
120,67,RU1208335580300719483867,EUR,2024-10-11 02:02:05,active
121,68,RU1218546518298841173867,USD,2024-10-19 23:21:44,active
122,68,RU1225105491522302497179,EUR,2024-10-07 05:20:56,active
123,68,RU1232125726978929308332,RUB,2023-07-25 14:47:46,active
124,69,RU1241212384411471402955,EUR,2024-09-23 09:28:22,active
125,69,RU1253524665693719259046,EUR,2024-06-30 15:22:19,active
126,70,RU1264541404817859303597,EUR,2025-03-03 21:00:31,active
127,70,RU1273751916119710506102,EUR,2024-01-23 03:57:59,closed
128,70,RU1287583349098764659900,USD,2024-06-06 16:11:50,active
129,71,RU1294632132054219364705,EUR,2022-10-15 05:11:35,active
130,71,RU1301589665536864058219,EUR,2024-05-13 19:25:31,active
131,71,RU1318552351636874085161,EUR,2024-03-17 02:02:08,active
132,72,RU1327074350269237747582,RUB,2022-07-12 18:23:07,active
133,72,RU1332659631071886158641,EUR,2025-10-26 09:02:21,active
134,72,RU1341361031962132997552,USD,2022-01-09 06:29:35,active
135,73,RU1356188111818664144544,RUB,2024-06-12 08:34:29,active
136,74,RU1362150312372017862404,RUB,2025-08-15 16:21:38,active
137,74,RU1374901959758880321535,EUR,2024-02-26 06:34:36,active
138,75,RU1389723415380690411259,RUB,2022-01-01 03:11:24,active
139,75,RU1395926225120797560095,USD,2024-03-17 22:14:28,blocked
140,75,RU1403886325576173497317,USD,2023-11-23 03:49:50,active
141,76,RU1415964106345573652672,USD,2025-11-15 20:27:25,closed
142,76,RU1428560981866629645429,RUB,2024-03-04 04:11:16,active
143,76,RU1433764329724993097572,RUB,2022-03-11 11:51:44,active
144,77,RU1444311791573011732890,RUB,2022-07-28 11:38:13,active
145,78,RU1456071458316413647895,USD,2022-07-19 14:31:59,active
146,78,RU1462506355363708289504,EUR,2023-02-01 01:52:21,active
147,79,RU1474923100041051425099,USD,2023-12-10 11:26:17,active
148,79,RU1481650783079176719931,EUR,2025-12-31 13:10:17,active
149,80,RU1496954343607612845404,EUR,2025-02-12 04:06:00,active
150,80,RU1506974633909122891497,EUR,2022-10-27 05:40:14,active
151,80,RU1518577625520988263047,RUB,2025-06-28 14:45:47,active
152,81,RU1521238976268354344503,USD,2023-05-07 10:46:05,closed
153,82,RU1532014479871827406301,RUB,2023-01-20 11:22:57,active
154,82,RU1546904595193118639647,RUB,2024-11-28 12:35:40,active
155,82,RU1553520314102856788078,USD,2022-05-19 05:11:49,active
156,83,RU1561903400294346811229,USD,2025-09-11 17:16:33,active
157,84,RU1579537483904987249402,RUB,2022-12-12 05:10:11,active
158,84,RU1583827420607289855151,EUR,2022-07-11 20:32:38,active
159,85,RU1594218036409514978852,RUB,2025-06-29 21:53:44,active
160,85,RU1603500031604159799092,USD,2024-12-24 02:52:30,active
161,85,RU1613932998983527045710,RUB,2024-08-01 16:00:33,active
162,86,RU1629928226706138141782,EUR,2022-10-08 15:57:30,active
163,86,RU1638836453708363473724,EUR,2025-05-10 06:38:03,active
164,87,RU1647333305396868836625,USD,2024-01-11 18:41:56,active
165,87,RU1652315899781567589702,EUR,2024-03-08 19:06:23,active
166,88,RU1667690811808407551452,RUB,2024-05-31 16:11:57,active
167,88,RU1673297649189909960163,EUR,2024-09-19 22:51:37,closed
168,89,RU1685048691423902429230,USD,2024-08-03 14:05:32,active
169,89,RU1693544017866339713898,EUR,2023-07-04 22:07:45,active
170,89,RU1709520661330261352442,EUR,2023-10-27 12:14:17,active
171,90,RU1713819229752778056543,RUB,2023-04-20 02:12:43,active
172,91,RU1721733026323151858650,RUB,2025-04-12 01:14:42,active
173,91,RU1736306359952351484552,RUB,2022-04-30 03:19:48,active
174,92,RU1745545743804681522061,EUR,2022-05-12 09:33:42,active
175,93,RU1755424045267287603312,EUR,2023-10-21 15:15:18,active
176,94,RU1765910609449621208809,EUR,2024-03-11 01:01:11,active
177,94,RU1772754137802511283587,RUB,2024-12-20 02:55:30,active
178,95,RU1787914466430491132652,EUR,2022-01-12 07:48:01,active
179,95,RU1799770212866382017751,EUR,2023-06-21 00:47:33,active
180,95,RU1806618819306400759318,EUR,2025-11-30 21:11:49,active
181,96,RU1819579445640515124231,RUB,2024-08-01 12:31:37,active
182,97,RU1828742180896286379201,RUB,2025-11-05 00:03:17,active
183,97,RU1835570253351206749890,RUB,2022-07-27 02:29:06,active
184,97,RU1849430578679566070871,RUB,2023-08-12 21:40:38,active
185,98,RU1853759429906680098520,RUB,2023-01-23 23:55:20,active
186,98,RU1867807085816239779169,RUB,2024-01-21 12:11:37,active
187,98,RU1873811466354472610816,RUB,2024-09-07 11:57:49,active
188,99,RU1885270946806356463908,RUB,2024-03-11 20:18:52,active
189,99,RU1894281159906911591191,USD,2025-10-18 10:35:04,active
190,99,RU1904264084479481787715,USD,2022-01-10 03:38:10,active
191,100,RU1914708423576192813064,EUR,2022-01-09 00:10:13,active
192,101,RU1921781623382307390906,USD,2022-01-14 18:27:50,active
193,101,RU1932142246760293655112,RUB,2024-04-01 22:08:58,active
194,102,RU1943085360477600797914,EUR,2022-01-11 17:38:25,active
195,102,RU1954950752731380029205,USD,2024-01-02 04:55:07,active
196,103,RU1965045113376010358165,RUB,2024-04-13 07:27:44,active
197,104,RU1977890699072836898565,RUB,2025-07-27 21:30:51,active
198,104,RU1982020710416244708315,EUR,2023-11-06 03:12:26,active
199,104,RU1994883553973843589011,RUB,2022-10-22 11:34:21,active
200,105,RU2002835376546488804909,RUB,2023-05-30 12:32:04,blocked
201,105,RU2014883918812951161919,USD,2024-01-15 13:24:43,blocked
202,105,RU2022175371125637365009,EUR,2024-01-30 17:46:13,active
203,106,RU2037696117882230263241,USD,2025-03-12 18:39:40,active
204,106,RU2042012106290792797864,USD,2025-12-05 16:51:32,active
205,107,RU2055611694635609770181,RUB,2025-05-16 10:28:52,active
206,108,RU2068653883963519647417,RUB,2025-04-07 02:11:04,active
207,109,RU2075005973450791202410,EUR,2023-10-30 11:04:26,closed
208,109,RU2088018062830731935727,USD,2024-01-16 22:53:35,active
209,110,RU2092723481510912236857,EUR,2023-01-20 20:41:19,active
210,110,RU2103430641963544480054,RUB,2023-01-23 12:47:45,active
211,111,RU2115370889820290623674,USD,2023-01-20 06:02:21,active
212,111,RU2127737274050717826113,RUB,2025-01-02 10:46:16,active
213,111,RU2138884801764847246771,RUB,2024-02-20 08:22:00,active
214,112,RU2142220213472169986929,RUB,2024-09-03 23:23:10,active
215,112,RU2152348541240112145262,RUB,2023-09-16 08:55:14,active
216,112,RU2168972222672073886556,RUB,2023-10-25 05:43:37,active
217,113,RU2176841253485181246588,USD,2023-08-14 20:34:28,active
218,114,RU2185702662496991092120,USD,2022-12-11 12:22:48,active
219,115,RU2194353398100938805205,RUB,2024-09-27 05:19:52,active
220,115,RU2203277883624315873583,EUR,2023-03-12 19:53:00,blocked
221,116,RU2211480820218694934384,RUB,2025-10-22 11:58:45,active
222,116,RU2225353968100489201772,RUB,2024-10-22 22:38:35,active
223,117,RU2233326715906821041318,USD,2025-11-12 06:39:46,active
224,117,RU2241893626856183243700,USD,2024-02-03 04:28:57,active
225,118,RU2254325659286851963612,RUB,2022-01-22 05:20:26,active
226,118,RU2266431745920261684022,EUR,2025-02-25 13:22:21,active
227,118,RU2273545161355698547937,RUB,2024-04-01 13:24:24,active
228,119,RU2286806653458126175690,RUB,2024-06-26 17:17:51,active
229,120,RU2299413346246984760460,EUR,2024-07-23 22:02:23,active
230,120,RU2307499341849703199348,RUB,2025-10-05 07:27:04,active
231,120,RU2316041301671126957056,RUB,2023-11-24 11:30:09,blocked
232,121,RU2328018875558404118904,USD,2023-06-17 16:09:46,active
233,121,RU2332179041606103676008,RUB,2022-11-10 19:04:22,active
234,121,RU2349223435361450558199,EUR,2022-10-25 19:20:41,active
235,122,RU2357616163445907574549,USD,2023-06-24 13:45:22,active
236,122,RU2364864631228784845252,RUB,2022-07-02 10:04:04,blocked
237,122,RU2371201760365618885486,EUR,2024-03-24 15:17:27,blocked
238,123,RU2381419158190511811417,RUB,2024-07-19 18:04:03,active
239,124,RU2397831891825866856971,EUR,2022-04-05 10:32:30,active
240,124,RU2409026692291031724455,EUR,2025-06-19 08:00:36,active
241,124,RU2417924241715512479102,RUB,2024-03-08 16:12:31,closed
242,125,RU2426600601067526949261,USD,2023-08-20 18:09:56,active
243,125,RU2436274827814270793154,RUB,2023-02-26 18:02:13,active
244,125,RU2449565075084548525457,RUB,2022-12-05 08:27:37,active
245,126,RU2453387328015771841178,EUR,2023-12-09 12:04:14,active
246,126,RU2463476610529692495403,USD,2023-04-17 07:57:03,active
247,126,RU2475921275829778727476,RUB,2024-05-07 17:40:42,active
248,127,RU2489149794366255918383,RUB,2023-03-30 08:42:24,active
249,128,RU2492936653400717067243,RUB,2025-12-11 10:18:34,active
250,128,RU2506835469584352887641,EUR,2024-04-10 11:08:36,active
251,129,RU2516066168337521503889,EUR,2023-07-28 09:25:27,active
252,129,RU2526639926309916857607,USD,2023-02-15 04:03:24,active
253,129,RU2538525553643320154973,RUB,2023-04-04 02:29:42,active
254,130,RU2543579683140240483758,EUR,2025-07-03 22:24:12,active
255,131,RU2558177498922145026154,EUR,2023-02-02 15:53:41,closed
256,132,RU2569722139897534185822,EUR,2022-06-15 08:28:21,active
257,132,RU2576574068242338666776,EUR,2024-10-12 16:21:08,active
258,132,RU2583990798557666856154,USD,2024-05-05 18:12:47,active
259,133,RU2595114139608614706848,USD,2022-11-13 18:38:15,active
260,133,RU2602368141406859637004,USD,2022-12-26 23:15:53,active
261,134,RU2618522563678468439827,USD,2022-05-26 13:03:21,active
262,134,RU2629700914637774953664,EUR,2025-09-01 14:49:09,active
263,135,RU2632502659254038210836,RUB,2022-10-08 06:02:49,active
264,135,RU2646606169180324185504,USD,2025-10-07 04:37:32,active
265,135,RU2653262067360039451017,RUB,2022-10-19 19:28:54,active
266,136,RU2667680552180290219033,USD,2025-11-13 06:51:44,active
267,136,RU2671919846379506987434,RUB,2024-03-29 07:43:40,active
268,137,RU2688660168471701958210,RUB,2023-08-20 12:12:19,active
269,137,RU2698103081391240472356,RUB,2024-09-28 04:02:04,blocked
270,138,RU2701124486923820585615,EUR,2023-02-20 18:57:24,active
271,139,RU2714121096086898945760,EUR,2025-05-14 19:15:00,active
272,140,RU2726191386296026257683,USD,2022-05-12 23:43:55,active
273,140,RU2734059911964880848998,RUB,2025-10-18 06:43:17,active
274,140,RU2747382953464462609534,RUB,2024-01-14 22:59:55,active
275,141,RU2751410678479964489559,RUB,2024-09-01 18:22:05,active
276,141,RU2769176121457369444758,RUB,2022-06-09 17:13:57,active
277,142,RU2773090709179791895519,RUB,2022-08-09 07:59:35,active
278,142,RU2783645689291531221344,USD,2023-10-26 12:45:47,active
279,143,RU2799155526132159998541,USD,2025-12-02 19:07:40,active
280,144,RU2803070854164827724217,USD,2025-07-02 03:38:35,blocked
281,144,RU2811703650528067356653,USD,2022-06-08 01:00:08,blocked
282,144,RU2829528872646486436976,USD,2024-08-14 10:50:21,active
283,145,RU2834953399242182482317,RUB,2025-10-23 05:53:04,active
284,146,RU2842385535281622209470,EUR,2023-06-05 03:53:29,active
285,146,RU2858540683533198567546,USD,2025-10-19 09:50:08,active
286,146,RU2869450770308379860601,RUB,2023-03-22 20:20:33,active
287,147,RU2879365456918575795890,USD,2024-10-24 23:08:47,active
288,147,RU2889606281842525030774,RUB,2025-01-09 23:26:06,active
289,148,RU2894602645223086550041,USD,2025-04-23 05:53:26,active
290,149,RU2901620858721799299870,USD,2025-01-25 13:38:00,active
291,149,RU2912334325166150923892,EUR,2022-06-25 19:03:39,active
292,150,RU2924551158725466993519,RUB,2023-05-17 20:18:14,closed
293,151,RU2939972947005202761500,USD,2023-05-12 00:57:18,active
294,151,RU2942274866253321599174,EUR,2023-10-06 00:57:49,active
295,152,RU2955584959384196579189,USD,2025-12-02 15:55:16,active
296,152,RU2968576116536268896748,EUR,2024-04-16 21:57:10,active
297,152,RU2974890794263583461624,EUR,2022-12-24 11:17:27,active
298,153,RU2987484891247665628589,EUR,2024-06-16 16:47:42,active
299,153,RU2991158223751274600950,RUB,2022-05-16 12:55:26,active
300,153,RU3002016012717263183618,RUB,2023-07-17 23:11:35,active
301,154,RU3015246333415478085663,RUB,2025-11-16 18:02:07,active
302,155,RU3022943709140431163242,USD,2025-07-21 12:27:50,active
303,156,RU3037417444570497878504,RUB,2022-03-28 18:49:22,active
304,157,RU3049899753375146776085,RUB,2022-08-11 06:16:53,active
305,157,RU3057112765110170908112,EUR,2023-10-22 18:17:22,active
306,157,RU3062458890271228400734,EUR,2024-06-22 11:53:00,active
307,158,RU3071710801910126039676,RUB,2022-08-17 04:19:55,active
308,159,RU3088059732285898350123,USD,2024-06-03 04:41:09,active
309,160,RU3097443114948209342244,EUR,2023-12-31 18:05:55,active
310,161,RU3108207114390572122505,USD,2024-01-01 09:44:55,active
311,161,RU3112437806904871745771,USD,2024-09-28 17:38:39,active
312,162,RU3122600994769852055400,EUR,2025-09-30 19:55:09,active
313,163,RU3139745988413394397339,USD,2022-09-07 02:14:10,active
314,163,RU3143380131326928572059,EUR,2025-09-22 18:46:17,active
315,163,RU3153096609467072783735,USD,2025-11-28 20:24:15,active
316,164,RU3164482378911973709729,RUB,2025-12-17 22:58:54,active
317,164,RU3171516479548103698174,USD,2022-07-14 09:18:34,active
318,165,RU3186158579275164176213,EUR,2023-09-02 09:40:01,active
319,166,RU3195403387850409340297,EUR,2025-07-31 13:20:05,active
320,166,RU3204509216974213670304,USD,2023-05-02 12:33:24,active
321,166,RU3214912756350925056949,USD,2022-09-14 01:05:51,active
322,167,RU3226563447302445204357,RUB,2023-02-24 07:19:50,active
323,168,RU3231981962107537076713,RUB,2022-02-13 13:44:14,active
324,168,RU3249390381807562613656,RUB,2022-04-12 11:16:30,active
325,169,RU3251298530948668992819,EUR,2022-10-19 15:35:47,active
326,169,RU3261413894537473590825,EUR,2023-01-09 08:20:38,active
327,170,RU3271859719112455640449,RUB,2025-05-12 13:44:58,active
328,170,RU3283604700327390089257,USD,2026-01-05 16:34:13,active
329,170,RU3294603030089110436926,USD,2023-09-11 11:36:01,active
330,171,RU3301898170483029589966,EUR,2023-07-07 18:34:32,closed
331,171,RU3311931587200463307695,EUR,2023-05-30 16:26:14,active
332,171,RU3326415738118639730052,RUB,2024-02-20 02:31:11,active
333,172,RU3332487019783378781080,RUB,2024-01-11 22:05:52,active
334,172,RU3346773394828060309655,RUB,2022-08-24 09:44:20,active
335,173,RU3357285356677461360604,RUB,2025-01-21 02:13:52,active
336,174,RU3369888262595150122317,RUB,2022-08-07 19:44:21,active
337,174,RU3377008057657944330344,EUR,2024-02-19 05:44:45,active
338,174,RU3388243592402530603010,USD,2024-03-23 21:33:23,blocked
339,175,RU3399671271496621995220,EUR,2023-06-11 15:36:29,active
340,176,RU3403205406330238009343,EUR,2022-03-04 03:47:20,active
341,176,RU3419836134792177325689,EUR,2022-11-21 09:23:51,closed
342,177,RU3428422291383029832232,USD,2024-05-30 15:35:45,active
343,178,RU3439001585806362876836,USD,2022-08-10 13:21:10,active
344,179,RU3449615145737223839078,USD,2024-02-15 00:47:50,active
345,180,RU3454259248939291055320,EUR,2022-09-08 20:07:50,active
346,180,RU3465249587039938143402,EUR,2022-05-19 14:42:26,active
347,181,RU3479523878650615532208,USD,2024-01-06 04:26:49,closed
348,181,RU3481365177685179009712,EUR,2022-08-07 04:15:09,blocked
349,182,RU3496715571459894831667,USD,2025-08-27 09:57:45,active
350,182,RU3505726786779848518269,USD,2025-11-25 17:27:42,active
351,183,RU3515666495253212502254,EUR,2023-05-03 05:32:54,active
352,183,RU3526724151233391675725,EUR,2023-12-01 04:39:22,active
353,183,RU3538574556231187202547,RUB,2024-09-27 05:05:37,active
354,184,RU3544466343272625519533,RUB,2022-01-13 08:08:04,active
355,184,RU3554580725110490391486,RUB,2022-09-03 18:20:23,active
356,184,RU3565296962369937211280,RUB,2025-09-19 23:00:19,active
357,185,RU3571791573279259179505,USD,2024-09-25 01:33:27,active
358,185,RU3584994775241659898028,USD,2022-10-08 01:04:40,active
359,186,RU3595485279876461884489,USD,2023-09-16 17:46:05,active
360,187,RU3605192748007558715023,RUB,2024-12-26 23:18:00,active
361,188,RU3616904953899407664251,USD,2024-04-26 18:06:03,active
362,189,RU3624507508470355219787,EUR,2023-05-13 09:25:20,active
363,190,RU3635366433232431019613,USD,2025-12-25 17:44:48,active
364,191,RU3647997001195317398303,RUB,2022-03-26 00:09:21,active
365,192,RU3651770993552906076683,EUR,2023-10-19 23:36:48,active
366,192,RU3663751671322242900860,USD,2022-08-09 04:22:18,active
367,192,RU3672974769151127312639,USD,2025-09-19 08:43:34,active
368,193,RU3689254517570932718318,RUB,2025-10-19 08:11:21,active
369,193,RU3692831810634851736187,USD,2025-11-01 15:38:25,active
370,193,RU3705939173750621492350,USD,2023-06-27 13:57:45,blocked
371,194,RU3714271459720607634254,EUR,2025-05-02 16:19:18,active
372,194,RU3721091602026641827896,USD,2025-11-18 16:06:45,active
373,194,RU3731717658713545298853,EUR,2024-05-21 08:10:56,active
374,195,RU3747124899527588586318,RUB,2024-11-03 15:26:47,active
375,195,RU3757795036048507443390,EUR,2025-07-03 06:26:51,blocked
376,195,RU3765230383180835789009,RUB,2025-02-12 20:56:29,active
377,196,RU3779946450639412632878,RUB,2024-02-15 20:41:02,active
378,197,RU3789700625809642607872,EUR,2023-09-24 07:11:31,active
379,197,RU3796892963593267655637,EUR,2025-07-17 06:15:11,active
380,197,RU3804875440582164367642,RUB,2024-06-17 11:27:29,active
381,198,RU3812993514595387935776,EUR,2024-04-28 07:34:12,active
382,198,RU3827268464099345317754,RUB,2023-06-25 17:34:12,active
383,198,RU3834355411635485530100,USD,2024-06-15 02:01:14,blocked
384,199,RU3849003656299594996770,EUR,2023-04-15 01:18:20,active
385,200,RU3854785150273106701504,USD,2024-12-22 08:25:58,active
386,201,RU3869984211449558496540,USD,2023-07-02 03:23:09,active
387,201,RU3874951141486454994434,RUB,2025-04-03 12:17:32,active
388,202,RU3885020248013119324686,RUB,2022-10-02 19:07:46,active
389,202,RU3897274492454096132891,EUR,2023-08-16 17:42:42,active
390,203,RU3909532869740683219095,EUR,2024-09-12 01:13:52,active
391,203,RU3918722125449598472566,RUB,2025-11-08 05:45:26,active
392,204,RU3924793385381202238333,EUR,2022-05-20 05:56:40,active
393,205,RU3936024281965505732514,EUR,2024-02-11 03:19:01,active
394,206,RU3941301009663960123891,EUR,2024-09-11 03:31:46,active
395,207,RU3958165455616327982935,RUB,2023-03-27 08:25:17,active
396,207,RU3968898366689779137609,RUB,2023-12-08 05:49:49,active
397,207,RU3978321062739927216219,USD,2023-12-31 10:59:47,blocked
398,208,RU3988236982088185841428,EUR,2023-10-04 11:19:22,blocked
399,208,RU3993065450587754725426,USD,2025-02-25 08:11:19,active
400,209,RU4003835233961925817875,EUR,2023-03-17 13:32:21,active
401,209,RU4013227946517402841395,USD,2025-07-26 12:57:20,blocked
402,209,RU4021143239590413425921,USD,2022-01-07 11:00:17,blocked
403,210,RU4037836782357508113944,EUR,2022-08-27 06:14:50,active
404,211,RU4044966231547105381564,EUR,2023-05-09 04:10:31,active
405,211,RU4056684068258472407350,USD,2023-01-11 16:07:02,active
406,211,RU4069595632711373427212,RUB,2024-09-28 02:15:15,active
407,212,RU4072602258997671729213,EUR,2023-10-29 14:05:55,active
408,212,RU4085034317598480909162,EUR,2023-09-19 05:21:58,blocked
409,212,RU4092091795716899536236,RUB,2022-12-25 19:10:02,active
410,213,RU4103400199184036304072,EUR,2024-06-15 05:38:56,active
411,213,RU4111860120291989899471,USD,2025-07-24 18:13:07,active
412,213,RU4128102293743117481112,RUB,2022-05-25 21:11:11,active
413,214,RU4139490984556494462643,EUR,2022-08-26 18:03:57,active
414,214,RU4147771515346949634101,RUB,2022-05-03 08:51:06,active
415,214,RU4158171999580579043824,EUR,2022-07-22 19:10:57,closed
